Latin neve;Jelentése:;
Ab ovo ; kezdetektõl (a tojástól indulva);
Ad hoc ; csak úgy (szó szerint: ehhez), hirtelen bekövetkezõ, eseti dolog, ötlet, megoldás, esemény;
Anakronizmus ; idõszerûtlenség, az adott korhoz képest elavult (görög eredetû);
Attribútum ; ismertetõ jel, állandó tulajdonság (valakihez szorosan hozzátartozó jellemzõ);
Axioma ; általános alaptétel (görög eredetû);
Casus belli ; a háború ürügye, háborús ok;
Corpus iuris ; jogszabályok gyûjteménye;
Corpus delicti ; bûntárgy, bûnjel;
Cum laude ; dícsérettel (egyetemeken a kiemelkedõ teljesítmény), magna / summa cum laude ;
De facto ; tényszerûen, a tények felõl nézve, gyakorlatilag;
De jure ; jogilag, jogi értelemben;
Deus ex machina ;" isteni beavatkozás (""Isten a gépbõl"")";
Ex lex ; törvény által nem szabályozott viszony vagy állapot;
Ex officio ; hivatalból, kötelességbõl;
Et cetera ; és a többi;
Eufémizmus ; a durva, sértõ közlések megszépítõ átfogalmazása (görög eredetû);
Habeas Corpus ; elõvezetést elrendelõ végzés (angol jogelv);
In memoriam ; emlékére, emlékezésül;
Ipso facto ; a ténybõl következõen;
In vitro ; az üvegben (amikor a kísérlet élõ szervezeten kívül történik);
Kurrens ; folyamatban lévõ (currens = folyó, jelenlegi);
Liberum arbitrium ; szabad akarat;
Marginális ; mellékes (marginalis = lapszéli);
Mea culpa ; én vétkem (valamilyen hiba beismerése, miséken bûnbánat);
Modus vivendi ; ideiglenes megállapodás, megoldás a békés egymás mellett élésre;
Mutatis mutandis ; a szükséges változtatásokkal;
Non plus ultra ; felülmúlhatatlan dolog;
Nomen est omen ; nevében a sorsa (a név elõjel);
Nota bene ; jól jegyezd meg (figyelem felhívása);
Persona non grata ; nemkívánatos személy;
Poeta doctus ; tanult költõ (olyan költõ, akinek mûvei megértéséhez magas mûveltség szükséges);
Post hoc ; utána, miatta (ok;
Primus inter pares ; elsõ az egyenlõk között;
Professor emeritus ; egyetemek által adományozott cím, nyugállományba vonuló egyetemi tanároknak;
Sic ; így, ilyen módon, sic erat scriptum ;
Status quo ; fennálló állapot (adott, jelenbeli állapot fenntartása);
Sub rosa ; a rózsa alatt. Az ókorban a rózsa a hallgatás jelképe volt; 
Sui generis ; egyedi dolog, egyedi jellemzõkkel rendelkezõ;
Urbi et orbi ; a városnak és a világnak;
Vis maior ; elõre nem látható körülmény (pl. természeti katasztrófa);
